[2025-12-19 17:57:07.855336] Comen ant entrenament de la xarxa.
Neurones d'entrada: 2
Neurones de capes ocultes: 16
Capes ocultes: 2
Neurones de sortida: 1
Taxa d'aprenentatge: 0.001
Deca ment de pesos: 0.0001
Funci  de p rdua: Binary Cross Entropy Loss
Optimitzador: Adam
 poques: 200
[2025-12-19 17:57:08.142993]  poca 01   train loss: 0.4540   val loss: 0.4140
[2025-12-19 17:57:08.362483]  poca 02   train loss: 0.4007   val loss: 0.3870
[2025-12-19 17:57:08.567965]  poca 03   train loss: 0.3825   val loss: 0.3641
[2025-12-19 17:57:08.763518]  poca 04   train loss: 0.2443   val loss: 0.3361
[2025-12-19 17:57:08.974794]  poca 05   train loss: 0.2448   val loss: 0.2975
[2025-12-19 17:57:09.195815]  poca 06   train loss: 0.2917   val loss: 0.2694
[2025-12-19 17:57:09.390964]  poca 07   train loss: 0.4225   val loss: 0.2371
[2025-12-19 17:57:09.606059]  poca 08   train loss: 0.1782   val loss: 0.2178
[2025-12-19 17:57:09.842751]  poca 09   train loss: 0.1674   val loss: 0.1988
[2025-12-19 17:57:10.080184]  poca 10   train loss: 0.1953   val loss: 0.1751
[2025-12-19 17:57:10.300151]  poca 11   train loss: 0.1176   val loss: 0.1655
[2025-12-19 17:57:10.518256]  poca 12   train loss: 0.1875   val loss: 0.1580
[2025-12-19 17:57:10.727711]  poca 13   train loss: 0.1949   val loss: 0.1464
[2025-12-19 17:57:10.938185]  poca 14   train loss: 0.2313   val loss: 0.1442
[2025-12-19 17:57:11.140638]  poca 15   train loss: 0.0721   val loss: 0.1448
[2025-12-19 17:57:11.351950]  poca 16   train loss: 0.1119   val loss: 0.1308
[2025-12-19 17:57:11.578972]  poca 17   train loss: 0.1056   val loss: 0.1250
[2025-12-19 17:57:11.801261]  poca 18   train loss: 0.1555   val loss: 0.1237
[2025-12-19 17:57:12.019098]  poca 19   train loss: 0.1712   val loss: 0.1196
[2025-12-19 17:57:12.242104]  poca 20   train loss: 0.2869   val loss: 0.1250
[2025-12-19 17:57:12.444159]  poca 21   train loss: 0.0910   val loss: 0.1176
[2025-12-19 17:57:12.641137]  poca 22   train loss: 0.1918   val loss: 0.1162
[2025-12-19 17:57:12.849355]  poca 23   train loss: 0.1218   val loss: 0.1145
[2025-12-19 17:57:13.083323]  poca 24   train loss: 0.0592   val loss: 0.1102
[2025-12-19 17:57:13.341658]  poca 25   train loss: 0.0684   val loss: 0.1126
[2025-12-19 17:57:13.550978]  poca 26   train loss: 0.1126   val loss: 0.1065
[2025-12-19 17:57:13.751440]  poca 27   train loss: 0.1373   val loss: 0.1055
[2025-12-19 17:57:13.966410]  poca 28   train loss: 0.1931   val loss: 0.1258
[2025-12-19 17:57:14.173220]  poca 29   train loss: 0.0700   val loss: 0.1130
[2025-12-19 17:57:14.368750]  poca 30   train loss: 0.0989   val loss: 0.1140
[2025-12-19 17:57:14.575539]  poca 31   train loss: 0.1632   val loss: 0.1098
[2025-12-19 17:57:14.794060]  poca 32   train loss: 0.0494   val loss: 0.0990
[2025-12-19 17:57:15.024436]  poca 33   train loss: 0.0963   val loss: 0.1034
[2025-12-19 17:57:15.231024]  poca 34   train loss: 0.0662   val loss: 0.1029
[2025-12-19 17:57:15.440424]  poca 35   train loss: 0.0716   val loss: 0.1002
[2025-12-19 17:57:15.669489]  poca 36   train loss: 0.0958   val loss: 0.1018
[2025-12-19 17:57:15.887029]  poca 37   train loss: 0.1216   val loss: 0.1024
[2025-12-19 17:57:16.083622]  poca 38   train loss: 0.0431   val loss: 0.0948
[2025-12-19 17:57:16.280915]  poca 39   train loss: 0.0863   val loss: 0.0987
[2025-12-19 17:57:16.510876]  poca 40   train loss: 0.1474   val loss: 0.0981
[2025-12-19 17:57:16.722632]  poca 41   train loss: 0.0606   val loss: 0.0957
[2025-12-19 17:57:16.939391]  poca 42   train loss: 0.0423   val loss: 0.0977
[2025-12-19 17:57:17.159492]  poca 43   train loss: 0.0836   val loss: 0.0993
[2025-12-19 17:57:17.367117]  poca 44   train loss: 0.0993   val loss: 0.0926
[2025-12-19 17:57:17.585639]  poca 45   train loss: 0.1560   val loss: 0.0911
[2025-12-19 17:57:17.803007]  poca 46   train loss: 0.1034   val loss: 0.0926
[2025-12-19 17:57:18.019181]  poca 47   train loss: 0.0833   val loss: 0.0953
[2025-12-19 17:57:18.235974]  poca 48   train loss: 0.1426   val loss: 0.0952
[2025-12-19 17:57:18.447938]  poca 49   train loss: 0.1026   val loss: 0.0967
[2025-12-19 17:57:18.667023]  poca 50   train loss: 0.0892   val loss: 0.0984
[2025-12-19 17:57:18.900657]  poca 51   train loss: 0.1305   val loss: 0.1046
[2025-12-19 17:57:19.125635]  poca 52   train loss: 0.0159   val loss: 0.0900
[2025-12-19 17:57:19.334577]  poca 53   train loss: 0.0711   val loss: 0.0887
[2025-12-19 17:57:19.556933]  poca 54   train loss: 0.3014   val loss: 0.0886
[2025-12-19 17:57:19.776021]  poca 55   train loss: 0.0980   val loss: 0.1105
[2025-12-19 17:57:19.995330]  poca 56   train loss: 0.1213   val loss: 0.1022
[2025-12-19 17:57:20.213509]  poca 57   train loss: 0.1659   val loss: 0.0911
[2025-12-19 17:57:20.410645]  poca 58   train loss: 0.0979   val loss: 0.0877
[2025-12-19 17:57:20.616593]  poca 59   train loss: 0.0686   val loss: 0.0857
[2025-12-19 17:57:20.835037]  poca 60   train loss: 0.1267   val loss: 0.0967
[2025-12-19 17:57:21.053236]  poca 61   train loss: 0.1727   val loss: 0.0900
[2025-12-19 17:57:21.268058]  poca 62   train loss: 0.0908   val loss: 0.0863
[2025-12-19 17:57:21.473104]  poca 63   train loss: 0.0701   val loss: 0.0931
[2025-12-19 17:57:21.685770]  poca 64   train loss: 0.0468   val loss: 0.0966
[2025-12-19 17:57:21.896083]  poca 65   train loss: 0.0928   val loss: 0.0923
[2025-12-19 17:57:22.101643]  poca 66   train loss: 0.0810   val loss: 0.0870
[2025-12-19 17:57:22.297439]  poca 67   train loss: 0.0176   val loss: 0.0862
[2025-12-19 17:57:22.503600]  poca 68   train loss: 0.1381   val loss: 0.0908
[2025-12-19 17:57:22.715425]  poca 69   train loss: 0.1626   val loss: 0.0835
[2025-12-19 17:57:22.930712]  poca 70   train loss: 0.1242   val loss: 0.0857
[2025-12-19 17:57:23.148509]  poca 71   train loss: 0.0774   val loss: 0.0862
[2025-12-19 17:57:23.351491]  poca 72   train loss: 0.1677   val loss: 0.0822
[2025-12-19 17:57:23.606690]  poca 73   train loss: 0.0690   val loss: 0.0845
[2025-12-19 17:57:23.819422]  poca 74   train loss: 0.0898   val loss: 0.0840
[2025-12-19 17:57:24.016846]  poca 75   train loss: 0.0465   val loss: 0.0846
[2025-12-19 17:57:24.226423]  poca 76   train loss: 0.0293   val loss: 0.0857
[2025-12-19 17:57:24.421420]  poca 77   train loss: 0.2040   val loss: 0.0825
[2025-12-19 17:57:24.618975]  poca 78   train loss: 0.2324   val loss: 0.0832
[2025-12-19 17:57:24.826226]  poca 79   train loss: 0.0282   val loss: 0.0881
[2025-12-19 17:57:25.034441]  poca 80   train loss: 0.1277   val loss: 0.0815
[2025-12-19 17:57:25.233480]  poca 81   train loss: 0.1815   val loss: 0.0800
[2025-12-19 17:57:25.437347]  poca 82   train loss: 0.0601   val loss: 0.0791
[2025-12-19 17:57:25.638161]  poca 83   train loss: 0.0314   val loss: 0.0881
[2025-12-19 17:57:25.839739]  poca 84   train loss: 0.0914   val loss: 0.0858
[2025-12-19 17:57:26.042335]  poca 85   train loss: 0.1561   val loss: 0.0794
[2025-12-19 17:57:26.246048]  poca 86   train loss: 0.0241   val loss: 0.0873
[2025-12-19 17:57:26.484066]  poca 87   train loss: 0.0592   val loss: 0.0832
[2025-12-19 17:57:26.682768]  poca 88   train loss: 0.3358   val loss: 0.0848
[2025-12-19 17:57:26.884731]  poca 89   train loss: 0.0573   val loss: 0.0794
[2025-12-19 17:57:27.084153]  poca 90   train loss: 0.2302   val loss: 0.0819
[2025-12-19 17:57:27.283596]  poca 91   train loss: 0.0975   val loss: 0.0785
[2025-12-19 17:57:27.480501]  poca 92   train loss: 0.1056   val loss: 0.0857
[2025-12-19 17:57:27.680371]  poca 93   train loss: 0.0986   val loss: 0.0865
[2025-12-19 17:57:27.890255]  poca 94   train loss: 0.0867   val loss: 0.0819
[2025-12-19 17:57:28.084887]  poca 95   train loss: 0.1553   val loss: 0.0841
[2025-12-19 17:57:28.283903]  poca 96   train loss: 0.0740   val loss: 0.0847
[2025-12-19 17:57:28.485343]  poca 97   train loss: 0.0570   val loss: 0.0781
[2025-12-19 17:57:28.700615]  poca 98   train loss: 0.0373   val loss: 0.0846
[2025-12-19 17:57:28.895241]  poca 99   train loss: 0.0424   val loss: 0.0836
[2025-12-19 17:57:29.097361]  poca 100   train loss: 0.0306   val loss: 0.0838
[2025-12-19 17:57:29.292093]  poca 101   train loss: 0.0738   val loss: 0.0871
[2025-12-19 17:57:29.498889]  poca 102   train loss: 0.0222   val loss: 0.0783
